icao24,origin_country,velocity,on_ground
a83f30,United States,231.68,False
ac2412,United States,244.33,False
c07e42,Canada,44.78,False
3c6584,Germany,3.34,True
c02ed9,Canada,253.13,False
a7e9c9,United States,210.32,False
3c6588,Germany,167.41,False
3c6586,Germany,3.09,True
3c6585,Germany,190.88,False
e49f2f,Brazil,214.42,False
80175f,India,185.88,False
3c658d,Germany,6.43,True
348085,Spain,233.76,False
8a01e0,Indonesia,240.36,False
3c658b,Germany,169.75,False
e49f44,Brazil,284.14,False
a3567a,United States,246.38,False
02a1a6,Tunisia,281.15,False
ac3751,United States,221.14,False
c07e32,Canada,256.8,False
a8a93a,United States,53.47,False
c07e33,Canada,205.21,False
ad4407,United States,33.83,False
801778,India,194.98,False
aa44ad,United States,0.13,True
a1a0ba,United States,45.51,False
ac97e4,United States,124.4,False
a3f3dc,United States,225.9,False
3c6598,Germany,217.28,False
39d314,France,0.0,False
39d315,France,233.7,False
a40cd9,United States,203.87,False
ac0a22,United States,158.63,False
39d318,France,219.68,False
39d319,France,237.15,False
408228,United Kingdom,119.16,False
aa57e6,United States,97.2,False
a2dffe,United States,92.12,False
a1f00e,United States,4.89,True
a64ce6,United States,220.51,False
39d311,France,227.08,False
ab9a32,United States,216.7,False
a3565e,United States,99.33,False
a0e360,United States,80.08,False
a47656,United States,63.78,False
abc7e9,United States,183.1,False
40820e,United Kingdom,165.23,False
c0853f,Canada,4.37,True
801745,India,222.93,False
ae14a4,United States,77.31,False
ad574f,United States,125.73,False
c01bc8,Canada,192.66,False
c07e62,Canada,204.75,False
a1f025,United States,200.02,False
ac2439,United States,211.53,False
710411,Saudi Arabia,91.11,False
a34f7f,United States,246.47,False
abfd39,United States,214.23,False
a929ab,United States,61.51,False
a57030,United States,220.78,False
a08065,United States,56.74,False
c035bb,Canada,182.19,False
c08536,Canada,207.55,False
a2e6e9,United States,56.98,False
a2d3b3,United States,231.18,False
a7e9e7,United States,110.61,False
80173b,India,209.01,False
801748,India,241.39,False
a9ea96,United States,228.63,False
a69c4f,United States,51.49,False
a85964,United States,242.64,False
a41ff5,United States,185.74,False
e49f22,Brazil,68.73,False
a7130c,United States,4.12,True
39d30c,France,203.19,False
8852e4,Thailand,273.3,False
801752,India,149.92,False
a46310,United States,69.46,False
c035d4,Canada,240.05,False
a57c86,United States,67.68,False
a1acdb,United States,175.49,False
a2101f,United States,210.78,False
a5cc3c,United States,226.14,False
a36994,United States,155.76,False
39d30a,France,219.71,False
c821c1,New Zealand,156.91,False
a809f5,United States,217.58,False
ace7bf,United States,242.46,False
abc7f8,United States,37.27,False
ac377b,United States,216.63,False
0d10e4,Mexico,119.39,False
4690e5,Greece,125.76,False
a390ed,United States,264.38,False
3c786c,Germany,229.66,False
4690e1,Greece,129.22,False
4b5da5,Switzerland,0.0,True
3c4b34,Germany,198.14,False
a0a80e,United States,230.69,False
3c4b31,Germany,251.38,False
407b8f,United Kingdom,229.67,False
aba1a0,United States,8.75,True
e49f5a,Brazil,238.7,False
39e68a,France,241.05,False
39e68d,France,244.08,False
40826a,United Kingdom,104.43,False
a4d946,United States,145.05,False
ab9a4e,United States,44.09,False
ab4af1,United States,151.66,False
0d10f0,Mexico,3.86,True
3c6542,Germany,242.81,False
ae4a11,United States,58.5,False
acd4b6,United States,51.01,False
ac245c,United States,280.06,False
a9a1f2,United States,2.06,False
a9a1f3,United States,58.66,False
a4503d,United States,212.28,False
a4bf41,United States,282.9,False
a546c9,United States,199.63,False
a3a647,United States,237.49,False
3c654a,Germany,252.36,False
0d10ec,Mexico,223.47,False
a65fae,United States,210.35,False
aba1b2,United States,50.63,False
3c6550,Germany,188.88,False
a1a0fc,United States,59.16,False
a6193b,United States,209.58,False
3c4b2c,Germany,247.39,False
40825f,United Kingdom,230.31,False
3c4b2a,Germany,237.81,False
7c6c99,Australia,0.51,True
3c6552,Germany,221.17,False
3c6569,Germany,238.18,False
ad4461,United States,241.95,False
39e689,France,141.8,False
3c6568,Germany,243.67,False
408262,United Kingdom,259.53,False
a8dd7b,United States,197.57,False
39e681,France,71.77,False
39e684,France,89.29,False
408260,United Kingdom,241.36,False
ad311d,United States,36.01,False
ab048d,United States,105.77,False
3c4b49,Germany,125.28,False
a0808f,United States,139.43,False
47bf73,Norway,51.18,False
a52cc8,United States,218.37,False
3c654e,Germany,249.93,False
801788,India,75.12,False
4a2aac,Romania,224.25,False
801786,India,223.83,False
a40cfc,United States,220.58,False
abea47,United States,256.39,False
778823,Syrian Arab Republic,213.22,False
c821f8,New Zealand,96.95,False
778822,Syrian Arab Republic,194.84,False
a4d968,United States,77.39,False
a9b4de,United States,225.86,False
ac0a75,United States,154.18,False
ad5785,United States,0.0,True
a533b8,United States,112.1,False
a5cc19,United States,147.39,False
e48c30,Brazil,122.45,False
a5cc15,United States,92.65,False
a4bf67,United States,34.09,False
a5cc13,United States,223.9,False
a5cc11,United States,236.14,False
a3fffc,United States,221.83,False
a69c0b,United States,133.12,False
ad445c,United States,63.67,False
ad445b,United States,163.86,False
4cc27f,Iceland,161.17,False
800462,India,306.45,False
40823f,United Kingdom,227.47,False
a3f3c9,United States,42.7,False
a3a65f,United States,239.2,False
3443cc,Spain,16.46,False
40823c,United Kingdom,248.48,False
e49314,Brazil,197.17,False
3c4b4c,Germany,208.58,False
3c4b4b,Germany,224.78,False
a39e0c,United States,191.36,False
a6905d,United States,281.37,False
acc23f,United States,258.59,False
ada5ee,United States,219.43,False
a2e81c,United States,46.61,False
a82c7f,United States,92.7,False
abb595,United States,208.8,False
0a004a,Algeria,143.25,False
78206d,China,266.02,False
a7b0c4,United States,250.54,False
a30844,United States,169.54,False
3443d3,Spain,265.77,False
a5707c,United States,212.48,False
0a0052,Algeria,121.67,False
aba263,United States,61.74,False
adf563,United States,161.95,False
a8dcee,United States,235.28,False
a27e43,United States,134.29,False
a7003d,United States,70.05,False
a0eee3,United States,44.38,False
a82039,United States,63.88,False
ad8b61,United States,67.77,False
a84699,United States,164.11,False
a2ce05,United States,257.96,False
a21ba0,United States,240.19,False
a03235,United States,233.7,False
acbb63,United States,6.17,False
a092c8,United States,69.12,False
0a0062,Algeria,97.9,False
a14b1a,United States,251.39,False
80047c,India,232.86,False
ad42fa,United States,44.8,False
a17847,United States,151.33,False
0ac3ba,Colombia,120.92,False
a15e22,United States,230.23,False
4aca08,Sweden,232.48,False
aa7a83,United States,197.66,False
0a001b,Algeria,213.28,False
a128d3,United States,184.52,False
4aca09,Sweden,232.65,False
abb59f,United States,162.83,False
e48ac6,Brazil,91.71,False
a5c077,United States,61.91,False
aa8164,United States,90.72,False
3c64ac,Germany,117.59,False
a390ff,United States,241.59,False
e491c3,Brazil,243.73,False
aa31ed,United States,109.82,False
4aca12,Sweden,213.55,False
a08bb4,United States,173.37,False
4aca14,Sweden,223.4,False
c0238b,Canada,62.19,False
a54849,United States,48.82,False
a3b8e1,United States,203.19,False
a08baf,United States,97.24,False
3c64aa,Germany,208.6,False
4aca0a,Sweden,125.39,False
a1ae05,United States,207.95,False
